district,link,block,compartment_amount,orientation,area,floor,metro_location,metro_location_distance,price,sublet
朝阳区,www.ziroom.com/x/726972499.html,天泰新房苑,6,南,12.1,6/7,传媒大学站,1294,2390,FALSE
朝阳区,www.ziroom.com/x/619420563.html,艺水芳园,4,南,10.5,10/15,传媒大学站,1060,2390,FALSE
朝阳区,www.ziroom.com/x/715768417.html,保利嘉园一号院,3,南,11.5,21/29,常营站,941,2430,FALSE
朝阳区,www.ziroom.com/x/695221476.html,金隅康惠园2号院,3,西,10.5,17/21,双桥站,933,2390,FALSE
朝阳区,www.ziroom.com/x/724579994.html,万象新天罗兰大道,4,北,8.1,6/16,常营站,351,2390,FALSE
朝阳区,www.ziroom.com/x/807912933.html,京通苑,3,西,10.3,23/24,管庄站,847,2430,FALSE
朝阳区,www.ziroom.com/x/715112309.html,金隅汇星苑,3,南,9.4,28/29,高碑店站,1180,2390,FALSE
朝阳区,www.ziroom.com/x/610039790.html,金隅康惠园2号院,3,东,10.2,20/22,双桥站,933,2390,FALSE
朝阳区,www.ziroom.com/x/771062491.html,泰福苑D3区,3,南,9.2,2/27,黄渠站,694,2430,FALSE
朝阳区,www.ziroom.com/x/807923776.html,烟厂宿舍,2,北,10.7,2/6,双桥站,933,2430,FALSE
朝阳区,www.ziroom.com/x/771476293.html,弘善家园,3,北,8.15,17/26,十里河站,717,2390,FALSE
朝阳区,www.ziroom.com/x/721174421.html,沁园,4,北,17.5,5/26,常营站,961,2490,FALSE
朝阳区,www.ziroom.com/x/776018124.html,金隅康惠园3号院,4,西,10.6,12/22,双桥站,590,2430,FALSE
朝阳区,www.ziroom.com/x/718190216.html,康泉小区,3,北,15.74,11/28,八里桥站,1173,2460,FALSE
朝阳区,www.ziroom.com/x/733104354.html,双惠小区,3,北,11.7,2/6,双桥站,728,2430,FALSE
朝阳区,www.ziroom.com/x/807897582.html,燕保祈东家园,3,南,9.2,15/28,焦化厂站,1063,2460,FALSE
朝阳区,www.ziroom.com/x/637977724.html,苹果派,3,北,11.5,4/12,黄渠站,854,2430,FALSE
朝阳区,www.ziroom.com/x/760393267.html,连心园西区,4,南,13.5,2/6,常营站,969,2460,FALSE
朝阳区,www.ziroom.com/x/776018318.html,金隅康惠园3号院,4,东,9.6,12/22,双桥站,590,2430,TRUE
朝阳区,www.ziroom.com/x/786134739.html,北京像素北区,4,南,11.9,6/13,草房站,349,2490,FALSE
朝阳区,www.ziroom.com/x/710831990.html,艺水芳园,4,南,10.9,3/10,传媒大学站,1060,2430,FALSE
朝阳区,www.ziroom.com/x/768226987.html,福盈家园,3,南,9,13/20,褡裢坡站,433,2460,FALSE
朝阳区,www.ziroom.com/x/719022961.html,万象新天四区,4,西南,10.2,4/5,常营站,696,2430,FALSE
朝阳区,www.ziroom.com/x/771473092.html,天泰新房苑,5,南,17.2,6/7,传媒大学站,1294,2490,FALSE
朝阳区,www.ziroom.com/x/807845075.html,远洋一方润园2号院,3,南,12.3,5/9,管庄站,1197,2460,FALSE
朝阳区,www.ziroom.com/x/716467302.html,紫南家园,5,北,10.06,5/11,南楼梓庄站,383,2430,FALSE
朝阳区,www.ziroom.com/x/807906787.html,金隅康惠园2号院,3,西,12.6,20/20,双桥站,933,2460,FALSE
朝阳区,www.ziroom.com/x/723877035.html,华龙美树,3,北,11.13,11/16,双桥站,361,2460,FALSE
朝阳区,www.ziroom.com/x/713834722.html,北京像素北区,3,东北,13,7/14,草房站,349,2490,TRUE
朝阳区,www.ziroom.com/x/763425778.html,泰福苑D1区,3,南,9.9,3/27,黄渠站,707,2460,TRUE
朝阳区,www.ziroom.com/x/716420257.html,福盈家园,3,南,9,8/20,褡裢坡站,433,2460,FALSE
朝阳区,www.ziroom.com/x/782740224.html,万方家园,3,北,11.3,4/6,黄渠站,942,2430,FALSE
朝阳区,www.ziroom.com/x/716963263.html,康泉小区,3,南,12.2,11/28,八里桥站,1173,2460,FALSE
朝阳区,www.ziroom.com/x/615300959.html,泰福苑D2区,3,南,9.6,14/27,黄渠站,664,2460,FALSE
朝阳区,www.ziroom.com/x/516311806.html,北京新天地一期,3,南,9.85,19/28,管庄站,1057,2430,FALSE
朝阳区,www.ziroom.com/x/714866026.html,天泰北双苑,3,南,13.18,6/6,传媒大学站,1102,2460,FALSE
